% WHOTS-XVII sys2 SN42 RAW full 29-Apr-2022.
% Winds to East and North, rotated 0.0000 degrees.
% Time word is the time at the start of the averaging period.
% year mo day  hr    yday     BPR   ATMP   STMP   WNDE   WNDN  WSPD  WDIR     RH   SRAD  LRAD   PRC  PRATE   SAL  COND  COMP
%             UTC            mbar   degC   degC    m/s    m/s   m/s   deg      %   W/m2  W/m2    mm  mm/hr   (1)   S/m   deg
  2020  7  24   0 -159.979 1013.90 24.590 -5.000  -0.09   0.01   0.1 276.3  86.60    4.0 429.6  8.66   0.00  0.00 0.000 133.3
  2020  7  24   1 -159.938 1014.21 23.711 -5.000  -0.06  -0.04   0.1 236.3  91.43    0.8 394.4 14.98   6.32  0.00 0.000 134.0
  2020  7  24   2 -159.896 1014.11 23.472 -5.000  -0.07   0.04   0.1 299.7  92.72    1.5 399.6 14.53   0.00  0.00 0.000 133.8
  2020  7  24   4 -159.812 1014.32 23.796 -5.000  -0.06   0.01   0.1 279.5  93.36    2.0 428.8 14.19   0.00  0.00 0.000 133.6
  2020  7  24   5 -159.771 1013.67 23.384 -5.000  -0.06   0.02   0.1 288.4  93.91    1.4 414.5 14.08   0.00  0.00 0.000 133.7
  2020  7  24   7 -159.688 1013.48 22.433 -5.000   0.00   0.00   0.0   0.0  94.55    1.9 408.5 13.93   0.00  0.00 0.000 134.1
  2020  7  24   8 -159.646 1014.21 22.468 -5.000   0.00   0.00   0.0   0.0  93.89    1.8 414.6 13.77   0.00  0.00 0.000 133.7
  2020  7  24   9 -159.604 1014.85 22.370 -5.000   0.00   0.00   0.0   0.0  93.35    5.0 414.0 13.67   0.00  0.00 0.000 133.6
  2020  7  24  10 -159.562 1014.76 23.104 -5.000   0.01  -0.17   0.2 176.6  89.54   38.3 413.8 13.61   0.00  0.00 0.000 133.9
  2020  7  24  11 -159.521 1015.24 23.695 -5.000  -0.12  -0.54   0.6 192.5  84.14  126.5 395.9 13.59   0.00  0.00 0.000 133.6
  2020  7  24  12 -159.479 1015.87 24.253 -5.000  -0.44  -0.43   0.6 225.7  78.39  218.1 401.9 13.59   0.00  0.00 0.000 133.7
  2020  7  24  14 -159.396 1017.03 25.513 -5.000  -0.80  -0.02   0.8 268.6  69.42  380.3 400.6 13.37   0.00  0.00 0.000 133.7
  2020  7  24  15 -159.354 1016.99 26.252 -5.000  -0.61  -0.39   0.7 237.4  69.14  525.3 406.5 13.34   0.00  0.00 0.000 133.8
  2020  7  24  16 -159.312 1016.91 27.157 -5.000  -0.44  -0.35   0.6 231.5  66.22  692.7 407.4 13.29   0.00  0.00 0.000 133.9
  2020  7  24  17 -159.271 1016.81 27.187 -5.000   0.16  -0.28   0.3 150.3  68.77  545.8 400.5 13.26   0.00  0.00 0.000 133.8
  2020  7  24  18 -159.229 1016.70 26.527 -5.000  -0.48   0.25   0.5 297.5  71.48  570.1 398.0 13.22   0.00  0.00 0.000 133.7
  2020  7  24  20 -159.146 1016.64 26.405 -5.000  -0.54   0.09   0.5 279.5  67.32  357.8 391.9 13.17   0.00  0.00 0.000 133.5
  2020  7  24  21 -159.104 1016.51 26.059 -5.000  -0.83   0.13   0.8 278.9  66.54  196.7 391.3 13.17   0.00  0.00 0.000 133.5
  2020  7  24  22 -159.062 1016.65 24.710 -5.000  -0.36   0.34   0.5 313.4  77.20  107.1 383.7 13.17   0.00  0.00 0.000 133.5
  2020  7  24  23 -159.021 1016.43 23.742 -5.000  -0.10   0.18   0.2 330.9  82.49   32.0 376.4 13.16   0.00  0.00 0.000 133.7
  2020  7  25   0 -158.979 1016.66 22.776 -5.000   0.07   0.08   0.1  41.2  86.26    1.3 374.8 13.18   0.00  0.00 0.000 133.7
  2020  7  25   1 -158.938 1016.99 21.732 -5.000   0.00   0.01   0.0   0.0  90.62    0.5 375.8 13.21   0.03  0.00 0.000 133.8
  2020  7  25   2 -158.896 1016.97 21.184 -5.000   0.00   0.00   0.0   0.0  92.84    1.2 389.1 13.22   0.00  0.00 0.000 133.7
  2020  7  25   3 -158.854 1016.83 21.082 -5.000  -0.01  -0.06   0.1 189.5  93.93    1.7 398.6 13.21   0.00  0.00 0.000 133.6
  2020  7  25   4 -158.812 1016.83 20.961 -5.000   0.00   0.00   0.0   0.0  93.77    1.1 396.8 13.21   0.00  0.00 0.000 133.6
  2020  7  25   5 -158.771 1016.77 20.722 -5.000   0.00   0.00   0.0   0.0  94.06    1.2 395.4 13.25   0.04  0.00 0.000 133.7
  2020  7  25   7 -158.688 1016.33 20.079 -5.000   0.00   0.00   0.0   0.0  94.52    1.2 393.2 13.23   0.00  0.00 0.000 133.6
  2020  7  25   8 -158.646 1016.15 20.212 -5.000   0.00   0.00   0.0   0.0  94.60    1.2 393.7 13.23   0.00  0.00 0.000 133.7
