% WHOTS-XIX sys1 SN9 RAW full 01-Oct-2023.
% Winds to East and North, rotated 0.0000 degrees.
% Time word is the time at the start of the averaging period.
% year mo day  hr    yday     BPR   ATMP   STMP   WNDE   WNDN  WSPD  WDIR     RH   SRAD  LRAD   PRC  PRATE   SAL  COND  COMP
%             UTC            mbar   degC   degC    m/s    m/s   m/s   deg      %   W/m2  W/m2    mm  mm/hr   (1)   S/m   deg
  2023  4  10  18 100.771 1026.33 12.348 57.976   0.65   0.24   0.7  69.7  51.50    0.0 272.1  0.15   0.00 24.57 6.543 138.6
  2023  4  10  19 100.812 1025.63 11.344 57.976   0.49   0.22   0.5  65.8  60.41    0.0 269.1  0.15   0.00  0.64 0.220 138.4
  2023  4  10  21 100.896 1024.71  8.882 57.976   0.77   0.02   0.8  88.5  69.81    0.0 261.2  0.16   0.00 13.80 3.888 138.6
  2023  4  10  23 100.979 1024.09  7.284 57.976   0.30  -0.02   0.3  93.8  77.05    0.0 260.4  0.15   0.00  0.11 0.039 138.4
  2023  4  11   0 101.021 1024.08  7.038 57.976   0.09  -0.23   0.2 158.6  74.59    0.0 259.4  0.15   0.00 18.80 5.145 138.4
  2023  4  11   3 101.146 1023.31  6.828 57.976   0.45  -0.12   0.5 104.9  82.58    0.0 271.8  0.15   0.00  7.36 2.188 138.4
  2023  4  11   4 101.188 1022.57  6.994 57.976   0.03  -0.17   0.2 170.0  79.88    0.0 265.1  0.15   0.00  5.09 1.556 138.5
  2023  4  11   5 101.229 1021.75  7.182 57.976   0.01  -0.28   0.3 178.0  73.92    0.0 263.9  0.15   0.00  3.27 1.032 138.0
  2023  4  11   6 101.271 1020.94  7.240 57.976   0.12  -0.16   0.2 143.1  73.43    0.0 265.2  0.16   0.00  1.85 0.604 138.3
  2023  4  11   8 101.354 1019.78  6.778 57.976   0.01  -0.20   0.2 177.1  80.96    0.0 268.3  0.15   0.00 24.24 6.463 138.6
  2023  4  11   9 101.396 1019.42  6.770 57.976  -0.06  -0.39   0.4 188.7  82.80    0.0 274.1  0.15   0.00 23.07 6.185 138.4
  2023  4  11  10 101.438 1019.32  7.278 57.976   0.00  -0.31   0.3 180.0  82.45    0.0 294.7  0.15   0.00 22.47 6.039 138.4
  2023  4  11  11 101.479 1019.58  8.999 57.976   0.13  -0.73   0.7 169.9  73.83    0.0 276.8  0.15   0.00 24.05 6.418 138.2
  2023  4  11  12 101.521 1019.50 11.087 57.976   0.18  -0.85   0.9 168.0  63.57    0.0 280.5  0.15   0.00  1.24 0.414 138.3
