% WHOTS-XIX sys2 SN42 RAW full 08-May-2024.
% Winds to East and North, rotated 0.0000 degrees.
% Time word is the time at the start of the averaging period.
% year mo day  hr    yday     BPR   ATMP   STMP   WNDE   WNDN  WSPD  WDIR     RH   SRAD  LRAD   PRC  PRATE   SAL  COND  COMP
%             UTC            mbar   degC   degC    m/s    m/s   m/s   deg      %   W/m2  W/m2    mm  mm/hr   (1)   S/m   deg
  2023  4  10  18 100.771 1026.24 11.980 19.650   0.68   0.29   0.7  66.9  54.79    0.0 265.9  1.96   0.00 32.90 4.501 136.5
  2023  4  10  19 100.812 1025.59 11.116 19.856   0.49   0.25   0.6  63.0  62.58    0.0 262.6  1.82   0.00 32.98 4.530 135.7
  2023  4  10  21 100.896 1024.59  8.709 16.983   0.77   0.08   0.8  84.1  73.12    0.0 254.7  1.39   0.00 33.12 4.272 135.5
  2023  4  10  22 100.938 1018.11  7.893 14.925   0.58   0.07   0.6  83.1  77.44    0.0 254.6  1.49   0.10 33.13 4.079 135.4
  2023  4  10  23 100.979 1023.96  7.227 13.100   0.31   0.00   0.3  90.0  80.61    0.0 254.2  1.75   0.26 33.12 3.908 135.6
  2023  4  11   1 101.062 1024.03  7.024 10.523   0.30  -0.09   0.3 106.7  80.86    0.0 255.2  1.76   0.00 33.09 3.669 135.4
  2023  4  11   3 101.146 1023.20  6.759  8.742   0.22   0.00   0.2  90.0  86.52    0.0 271.1  1.77   0.00 33.07 3.507 135.4
  2023  4  11   4 101.188 1022.45  6.874  8.119   0.19  -0.12   0.2 122.3  83.43    0.0 263.8  1.77   0.00 33.05 3.450 135.3
  2023  4  11   5 101.229 1021.63  7.024  7.597   0.12  -0.10   0.2 129.8  76.69    0.0 257.9  1.78   0.00 33.04 3.403 135.1
  2023  4  11   6 101.271 1020.82  7.146  7.173   0.16  -0.04   0.2 104.0  75.68    0.0 259.1  1.78   0.00 33.03 3.364 135.4
  2023  4  11   7 101.312 1020.20  6.772  6.801   0.03  -0.17   0.2 170.0  83.45    0.0 260.7  1.79   0.00 33.03 3.332 135.3
  2023  4  11   8 101.354 1019.65  6.606  6.477  -0.06  -0.09   0.1 213.7  84.97    0.0 264.1  1.78   0.00 33.03 3.303 135.2
  2023  4  11   9 101.396 1019.29  6.593  6.197   0.01  -0.17   0.2 176.6  86.96    0.0 273.5  1.78   0.00 33.03 3.279 135.3
  2023  4  11  10 101.438 1019.17  7.006  6.054  -0.03  -0.19   0.2 189.0  87.17    0.0 295.2  1.78   0.00 33.01 3.264 135.2
  2023  4  11  11 101.479 1019.44  8.842  6.410   0.04  -0.47   0.5 175.1  76.40    0.0 272.9  1.81   0.03 33.01 3.296 135.5
  2023  4  11  13 101.562 1018.83 13.203  7.728   0.24   0.23   0.3  46.2  59.56    0.0 283.9  2.12   0.31 33.11 3.420 135.6
  2023  4  11  14 101.604 1018.25 12.978  8.660   0.38   0.63   0.7  31.1  64.66    0.0 289.8  2.34   0.22 33.15 3.507 135.7
  2023  4  11  15 101.646 1017.39 13.380 10.109   0.55   0.44   0.7  51.3  62.13    0.0 294.0  2.34   0.00 33.11 3.634 135.5
  2023  4  11  16 101.688 1016.49 13.437 11.294   0.53   0.32   0.6  58.9  60.16    0.0 288.9  2.18   0.00 33.23 3.753 135.7
  2023  4  11  17 101.729 1015.42 12.965 13.074   0.77   0.27   0.8  70.7  61.74    0.0 282.2  1.94   0.00 33.37 3.932 135.8
  2023  4  11  18 101.771 1014.14 13.724 15.013   0.76   0.32   0.8  67.2  55.34    0.0 281.6  1.64   0.00 33.47 4.124 135.5
  2023  4  11  19 101.812 1012.69 11.984 16.505   0.80   0.11   0.8  82.2  66.50    0.0 283.0  1.26   0.00 33.43 4.262 136.1
  2023  4  11  22 101.938 1010.03 11.926 14.570   0.14   0.29   0.3  25.8  60.14    0.0 302.2  1.82   0.56 33.34 4.069 135.6
  2023  4  11  23 101.979 1009.85 12.484 13.821   0.20   0.43   0.5  24.9  55.12    0.0 328.3  2.07   0.25 33.34 3.999 135.5
  2023  4  12   1 102.062 1009.03 10.728 12.556   0.31   0.44   0.5  35.2  70.48    0.0 334.4  2.11   0.04 33.38 3.885 135.2
  2023  4  12   2 102.104 1008.12  9.899 11.883   0.39   0.31   0.5  51.5  76.21    0.0 331.4  2.07   0.00 33.40 3.825 135.4
  2023  4  12   3 102.146 1007.10 11.237 11.434   0.21   0.07   0.2  71.6  65.90    0.0 327.2  2.09   0.02 33.38 3.781 135.6
  2023  4  12   4 102.188 1006.40 11.117 11.075   0.27  -0.10   0.3 110.3  67.69    0.0 305.1  2.09   0.00 33.40 3.751 135.4
  2023  4  12   5 102.229 1005.56 11.551 10.808   0.32  -0.10   0.3 107.4  64.77    0.0 324.9  2.09   0.00 33.39 3.725 135.5
  2023  4  12   6 102.271 1004.47 12.053 10.784   0.21  -0.13   0.2 121.8  61.98    0.0 333.8  2.12   0.03 33.37 3.720 135.4
  2023  4  12   7 102.312 1003.91 11.795 10.673   0.22  -0.09   0.2 112.2  62.15    0.0 305.5  2.15   0.03 33.42 3.716 135.7
  2023  4  12   8 102.354 1003.50 11.842 10.501   0.13  -0.07   0.1 118.3  60.51    0.0 297.8  2.16   0.00 33.43 3.701 135.4
  2023  4  12   9 102.396 1003.62 11.964 10.360   0.09   0.05   0.1  60.9  59.96    0.0 305.6  2.20   0.04 33.44 3.689 135.6
  2023  4  12  10 102.438 1004.18 12.687 10.336   0.14   0.12   0.2  49.4  56.99    0.0 310.9  2.23   0.03 33.44 3.686 135.3
  2023  4  12  11 102.479 1005.27 14.387 10.566   0.16   0.15   0.2  46.8  50.17    0.0 308.9  2.31   0.08 33.46 3.710 135.8
  2023  4  12  12 102.521 1005.79 16.616 11.198   0.19  -0.01   0.2  93.0  44.43    0.0 308.6  2.53   0.22 33.53 3.775 135.7
  2023  4  12  13 102.562 1006.03 17.057 12.133   0.14  -0.23   0.3 148.7  42.36    0.0 314.6  2.70   0.17 33.58 3.866 136.1
  2023  4  12  14 102.604 1005.86 17.814 13.248   0.54  -0.64   0.8 139.8  33.44    0.0 322.0  1.96   0.00 33.61 3.974 135.5
  2023  4  12  15 102.646 1006.26 19.188 14.428   0.48  -0.66   0.8 144.0  29.79    0.0 326.2  1.68   0.00 33.61 4.085 135.8
  2023  4  12  16 102.688 1005.48 20.441 15.670   0.38  -0.67   0.8 150.4  27.47    0.0 320.7  1.87   0.19 33.66 4.208 136.0
  2023  4  12  18 102.771 1004.55 21.114 20.095   0.18   0.24   0.3  36.9  33.69    0.0 336.2  2.72   0.85 34.00 4.679 135.8
  2023  4  12  19 102.812 1004.36 22.140 22.004   0.24  -0.54   0.6 156.0  29.84    0.0 332.0  2.60   0.00 33.99 4.868 136.0
  2023  4  12  20 102.854 1004.83 21.254 23.067  -0.02  -0.28   0.3 184.1  32.27    0.0 328.8  2.56   0.00 33.77 4.947 135.5
  2023  4  12  21 102.896 1005.32 18.682 22.691  -0.18   0.08   0.2 294.0  40.21    0.0 333.7  2.38   0.00 33.91 4.927 135.6
  2023  4  12  22 102.938 1005.87 16.627 21.707  -0.24   0.04   0.2 279.5  52.87    0.0 328.5  2.02   0.00 34.02 4.842 135.5
  2023  4  12  23 102.979 1006.79 12.687 19.961   0.25   0.39   0.5  32.7  64.64    0.0 305.6  1.77   0.00 34.10 4.678 135.6
  2023  4  13   0 103.021 1007.68 12.427 18.467  -0.06   0.17   0.2 340.6  67.21    0.0 303.7  2.06   0.29 34.10 4.530 135.1
  2023  4  13   4 103.188 1008.57 11.207 14.413  -0.52   0.47   0.7 312.1  74.63    0.0 324.7  2.05   0.00 34.08 4.135 135.4
  2023  4  13   5 103.229 1008.81 11.105 13.760  -0.67   0.55   0.9 309.4  76.08    0.0 319.3  2.04   0.00 34.09 4.073 135.4
  2023  4  13   6 103.271 1008.80  9.777 13.050  -0.53   0.38   0.7 305.6  85.77    0.0 299.0  2.01   0.00 34.11 4.007 135.5
  2023  4  13   7 103.312 1008.52  9.486 12.347  -0.31   0.37   0.5 320.0  87.51    0.0 296.5  1.94   0.00 34.11 3.942 135.2
  2023  4  13   8 103.354 1008.35  8.898 11.685  -0.06   0.37   0.4 350.8  91.55    0.0 301.6  1.90   0.00 34.11 3.879 135.3
  2023  4  13  10 103.438 1008.65 11.878 10.885  -0.11   0.11   0.2 315.0  62.55    0.0 309.2  1.87   0.00 34.06 3.799 135.3
  2023  4  13  12 103.521 1009.06 17.009 12.047   0.26  -0.04   0.3  98.7  49.56    0.0 320.7  2.34   0.47 34.11 3.913 135.8
  2023  4  13  13 103.562 1008.92 18.455 12.941   0.16  -0.03   0.2 100.6  48.30    0.0 325.2  2.69   0.35 34.14 4.001 136.1
  2023  4  13  14 103.604 1008.90 18.871 13.889   0.08   0.20   0.2  21.8  49.40    0.0 329.4  2.91   0.22 34.18 4.095 135.5
  2023  4  13  15 103.646 1008.49 18.271 14.770   0.46   0.57   0.7  38.9  51.05    0.0 329.1  2.94   0.03 34.24 4.186 135.8
  2023  4  13  16 103.688 1007.88 18.248 15.800   0.60   0.52   0.8  49.1  50.75    0.0 327.9  2.18   0.00 34.27 4.289 135.9
  2023  4  13  17 103.729 1007.38 18.927 17.753   0.59   0.28   0.7  64.6  48.15    0.0 327.0  2.04   0.00 34.44 4.500 135.6
  2023  4  13  18 103.771 1006.94 19.317 19.990   0.53   0.39   0.7  53.7  47.71    0.0 326.2  2.07   0.03 34.54 4.734 135.9
