% WHOTS-XVIII sys2 SN8 RAW full 20-Jan-2023.
% Winds to East and North, rotated 0.0000 degrees.
% Time word is the time at the start of the averaging period.
% year mo day  hr    yday     BPR   ATMP   STMP   WNDE   WNDN  WSPD  WDIR     RH   SRAD  LRAD   PRC  PRATE   SAL  COND  COMP
%             UTC            mbar   degC   degC    m/s    m/s   m/s   deg      %   W/m2  W/m2    mm  mm/hr   (1)   S/m   deg
  2022  5  16  20 136.854 1002.41 19.520 -5.000   0.00   0.00   0.0   0.0  76.63    0.0 354.8  0.19   0.00  0.00 0.000 360.0
  2022  5  16  21 136.896 1001.83 18.513 -5.000   0.00   0.00   0.0   0.0  78.40    0.0 350.7 16.34  16.15  0.00 0.000 360.0
  2022  5  16  22 136.938 1001.31 16.995 -5.000   0.00   0.00   0.0   0.0  85.90    0.0 363.9 31.12  14.78  0.00 0.000 360.0
  2022  5  16  23 136.979 1001.07 16.802 -5.000   0.00   0.00   0.0   0.0  90.45    0.0 383.9 31.21   0.09  0.00 0.000 360.0
  2022  5  17   0 137.021 1001.27 16.604 -5.000   0.00   0.00   0.0   0.0  90.90    0.0 392.1 31.24   0.03  0.00 0.000 360.0
  2022  5  17   1 137.062 1001.38 15.300 -5.000   0.00   0.00   0.0   0.0  94.22    0.0 389.2 31.31   0.07  0.00 0.000 360.0
  2022  5  17   2 137.104 1001.22 14.574 -5.000  -0.01  -0.01   0.0 225.0  96.17    0.0 386.5 37.14   5.83  0.00 0.000  -0.1
  2022  5  17   3 137.146 1000.72 14.690 -5.000  -0.01  -0.01   0.0 225.0  96.06    0.0 384.2 38.38   1.24  0.00 0.000  -0.1
  2022  5  17   4 137.188 1000.28 14.152 -5.000  -0.01  -0.01   0.0 225.0  96.13    0.0 374.9 39.01   0.63  0.00 0.000  -0.1
  2022  5  17   5 137.229  999.98 13.433 -5.000  -0.01  -0.01   0.0 225.0  96.09    0.0 362.0 38.99   0.00  0.00 0.000  -0.1
  2022  5  17   6 137.271  999.98 13.130 -5.000  -0.01  -0.01   0.0 225.0  96.08    0.0 365.8 38.99   0.00  0.00 0.000  -0.1
  2022  5  17   7 137.312 1000.49 12.909 -5.000  -0.01  -0.01   0.0 225.0  96.19    0.0 375.0 38.98   0.00  0.00 0.000  -0.1
  2022  5  17   8 137.354 1001.10 13.166 -5.000  -0.01  -0.01   0.0 225.0  96.10    0.0 358.6 38.99   0.00  0.00 0.000  -0.1
  2022  5  17   9 137.396 1001.70 12.993 -5.000  -0.01  -0.01   0.0 225.0  94.62    0.0 354.0 39.00   0.00  0.00 0.000  -0.1
  2022  5  17  10 137.438 1003.00 13.702 -5.000  -0.01  -0.01   0.0 225.0  85.78    0.0 348.5 39.01   0.00  0.00 0.000  -0.1
  2022  5  17  12 137.521 1004.32 17.014 -5.000  -0.01  -0.01   0.0 225.0  64.17    0.0 306.2 38.88   0.00  0.00 0.000  -0.1
  2022  5  17  13 137.562 1004.41 17.706 -5.000  -0.01  -0.01   0.0 225.0  62.99    0.0 308.6 38.84   0.00  0.00 0.000  -0.1
  2022  5  17  15 137.646 1004.36 17.642 -5.000  -0.01  -0.01   0.0 225.0  66.10    0.0 312.9 38.82   0.00  0.00 0.000  -0.1
  2022  5  17  16 137.688 1004.24 16.481 -5.000  -0.01  -0.01   0.0 225.0  69.03    0.0 311.8 38.82   0.00  0.00 0.000  -0.1
  2022  5  17  17 137.729 1003.48 17.876 -5.000  -0.01  -0.01   0.0 225.0  61.55    0.0 314.9 38.81   0.00  0.00 0.000  -0.1
  2022  5  17  18 137.771 1003.05 17.458 -5.000  -0.01  -0.01   0.0 225.0  65.61    0.0 315.1 38.77   0.00  0.00 0.000  -0.1
  2022  5  17  19 137.812 1002.75 16.976 -5.000  -0.01  -0.01   0.0 225.0  66.16    0.0 327.2 38.77   0.00  0.00 0.000  -0.1
  2022  5  17  20 137.854 1003.01 15.359 -5.000  -0.01  -0.01   0.0 225.0  72.31    0.0 357.3 38.84   0.07  0.00 0.000  -0.1
  2022  5  17  21 137.896 1003.29 15.899 -5.000  -0.01  -0.01   0.0 225.0  72.19    0.0 340.9 38.90   0.06  0.00 0.000  -0.1
  2022  5  17  22 137.938 1003.30 15.252 -5.000  -0.01  -0.01   0.0 225.0  72.98    0.0 314.0 38.92   0.02  0.00 0.000  -0.1
  2022  5  17  23 137.979 1003.89 14.444 -5.000  -0.01  -0.01   0.0 225.0  77.25    0.0 307.7 38.96   0.04  0.00 0.000  -0.1
  2022  5  18   0 138.021 1005.01 13.553 -5.000  -0.01  -0.01   0.0 225.0  79.83    0.0 305.8 39.01   0.05  0.00 0.000  -0.1
  2022  5  18   1 138.062 1006.16 15.052 -5.000  -0.01  -0.01   0.0 225.0  61.02    0.0 308.2 39.05   0.04  0.00 0.000  -0.1
  2022  5  18   2 138.104 1006.75 15.675 -5.000  -0.01  -0.01   0.0 225.0  56.13    0.0 303.1 39.04   0.00  0.00 0.000  -0.1
  2022  5  18   3 138.146 1007.15 14.770 -5.000  -0.01  -0.01   0.0 225.0  57.24    0.0 300.0 39.04   0.00  0.00 0.000  -0.1
  2022  5  18   4 138.188 1007.49 14.239 -5.000  -0.01  -0.01   0.0 225.0  60.54    0.0 299.6 39.05   0.00  0.00 0.000  -0.1
  2022  5  18   5 138.229 1007.64 14.027 -5.000  -0.01  -0.01   0.0 225.0  62.85    0.0 299.8 39.06   0.00  0.00 0.000  -0.1
  2022  5  18   6 138.271 1007.48 13.126 -5.000  -0.01  -0.01   0.0 225.0  68.44    0.0 296.9 39.07   0.00  0.00 0.000  -0.1
  2022  5  18   7 138.312 1007.75 12.075 -5.000  -0.01  -0.01   0.0 225.0  73.17    0.0 294.3 39.08   0.00  0.00 0.000  -0.1
  2022  5  18   8 138.354 1008.34 11.572 -5.000  -0.01  -0.01   0.0 225.0  75.38    0.0 293.8 39.10   0.02  0.00 0.000  -0.1
  2022  5  18   9 138.396 1008.84 11.637 -5.000  -0.01  -0.01   0.0 225.0  75.15    0.0 293.8 39.13   0.03  0.00 0.000  -0.1
  2022  5  18  10 138.438 1009.24 13.619 -5.000  -0.01  -0.01   0.0 225.0  67.30    0.0 295.9 39.11   0.00  0.00 0.000  -0.1
  2022  5  18  11 138.479 1009.51 14.886 -5.000  -0.01  -0.01   0.0 225.0  59.93    0.0 295.4 39.07   0.00  0.00 0.000  -0.1
  2022  5  18  12 138.521 1009.75 15.885 -5.000  -0.01  -0.01   0.0 225.0  50.17    0.0 295.2 38.97   0.00  0.00 0.000  -0.1
  2022  5  18  13 138.562 1009.99 17.042 -5.000  -0.01  -0.01   0.0 225.0  44.57    0.0 298.8 38.92   0.00  0.00 0.000  -0.1
  2022  5  18  14 138.604 1010.62 17.964 -5.000  -0.01  -0.01   0.0 225.0  40.60    0.0 298.3 38.87   0.00  0.00 0.000  -0.1
  2022  5  18  15 138.646 1010.59 18.759 -5.000  -0.01  -0.01   0.0 225.0  33.98    0.0 298.2 38.85   0.00  0.00 0.000 141.4
