% WHOTS-XX sys1 SN3 RAW full 01-Nov-2024.
% Winds to East and North, rotated 0.0000 degrees.
% Time word is the time at the start of the averaging period.
% year mo day  hr    yday     BPR   ATMP   STMP   WNDE   WNDN  WSPD  WDIR     RH   SRAD  LRAD   PRC  PRATE   SAL  COND  COMP
%             UTC            mbar   degC   degC    m/s    m/s   m/s   deg      %   W/m2  W/m2    mm  mm/hr   (1)   S/m   deg
  2024  4  11  14 102.593 1016.81 -20.000 10.579  -1.34   1.08   1.7 308.9   0.00  242.1 357.0  0.00   0.00 30.81 3.445 137.0
  2024  4  11  14 102.604 1012.77 -20.000  9.988  -1.09   0.62   1.3 299.6   0.00  168.3 351.3  0.00   0.00 30.11 3.325 134.2
  2024  4  11  15 102.646 1016.54 -20.000 10.528  -1.89   0.46   1.9 283.7   0.00  204.7 354.4  0.00   0.00 30.91 3.451 134.4
  2024  4  11  16 102.688 1016.16 -20.000 10.329  -1.51   0.45   1.6 286.6   0.00  192.9 354.6  0.00   0.00 30.93 3.436 134.4
  2024  4  11  17 102.729 1015.71 -20.000 10.188  -1.26   0.59   1.4 295.1   0.00  107.5 357.4  0.00   0.00 30.93 3.424 134.6
  2024  4  11  18 102.771 1015.41 -20.000 10.145  -1.55   0.44   1.6 285.8   0.00  209.8 355.3  0.00   0.00 30.93 3.420 134.6
  2024  4  11  19 102.812 1015.06 -20.000 10.401  -0.98   0.29   1.0 286.5   0.00  238.6 348.5  0.00   0.00 30.92 3.442 134.3
  2024  4  11  20 102.854 1014.69 -20.000 10.807  -0.78   0.36   0.9 294.8   0.00  108.4 369.8  0.00   0.00 30.90 3.474 134.3
  2024  4  11  21 102.896 1014.39 -20.000 11.059  -1.32   0.63   1.5 295.5   0.00   39.8 373.1  0.00   0.00 30.87 3.493 134.2
  2024  4  11  22 102.938 1013.85 -20.000 11.316  -0.81   0.20   0.8 283.9   0.00   18.1 366.3  0.00   0.00 30.84 3.512 134.4
  2024  4  11  23 102.979 1013.58 -20.000 11.413  -1.34  -0.10   1.3 265.7   0.00    6.2 361.0  0.00   0.00 30.84 3.519 134.4
  2024  4  12   0 103.021 1013.26 -20.000 11.485  -1.60   0.02   1.6 270.7   0.00    3.8 358.6  0.00   0.00 30.83 3.525 134.5
  2024  4  12   1 103.062 1013.00 -20.000 11.594  -1.74   0.31   1.8 280.1   0.00    3.7 356.1  0.00   0.00 30.82 3.534 134.4
  2024  4  12   2 103.104 1012.53 -20.000 11.682  -1.82   0.41   1.9 282.7   0.00    3.6 356.8  0.00   0.00 30.82 3.541 134.3
  2024  4  12   3 103.146 1011.59 -20.000 11.735  -1.70   0.34   1.7 281.3   0.00    3.9 367.4  0.00   0.00 30.82 3.546 134.3
  2024  4  12   4 103.188 1010.83 -20.000 11.959  -1.72   0.52   1.8 286.8   0.00    3.8 370.7  0.00   0.00 30.83 3.566 134.3
  2024  4  12   5 103.229 1009.91 -20.000 12.144  -2.15   0.58   2.2 285.1   0.00    4.0 361.7  0.00   0.00 30.84 3.582 134.1
  2024  4  12   6 103.271 1008.70 -20.000 12.378  -2.26   0.86   2.4 290.8   0.00    3.9 363.3  0.00   0.00 30.84 3.603 134.3
  2024  4  12   7 103.312 1007.40 -20.000 12.569  -2.94   1.07   3.1 290.0   0.00    4.0 373.0  0.00   0.00 30.84 3.619 134.3
  2024  4  12   8 103.354 1006.13 -20.000 12.652  -2.74   1.20   3.0 293.7   0.00    4.2 376.8  0.00   0.00 30.83 3.626 133.8
  2024  4  12   9 103.396 1005.25 -20.000 12.876  -4.43   2.06   4.9 294.9   0.00    4.2 381.8  0.00   0.00 30.84 3.646 134.2
  2024  4  12  10 103.438 1004.01 -20.000 13.112  -4.73   2.58   5.4 298.6   0.00    6.8 382.8  0.00   0.00 30.83 3.666 134.4
  2024  4  12  11 103.479 1002.94 -20.000 13.265  -4.68   2.60   5.4 299.1   0.00   20.8 380.8  0.00   0.00 30.83 3.679 134.0
  2024  4  12  12 103.521 1002.15 -20.000 13.175  -4.25   2.08   4.7 296.1   0.00   21.6 380.4  0.00   0.00 30.85 3.673 134.3
  2024  4  12  13 103.562 1001.22 -20.000 13.259  -4.17   2.12   4.7 296.9   0.00   37.7 381.9  0.00   0.00 30.83 3.679 134.2
